NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulosPublicados,FollowersInicioAño,FollowersFinAño,TendenciaFollowers,DiversidadLexicalAnual_2017
El Líbero,elliberocl,N,Sociedad Periodistica El Libero S.A.,7284,42017,50472,"0,20","188,9"
Ferplei,Ferplei,N,Betazeta Networks S.A.,11723,49173,49410,"0,00","102,95"
Economia y Negocios  El Mercurio,EYN_ELMERCURIO,N,El Mercurio S.A.P.,5015,36325,45979,"0,27","131,37"
Araucania News,araucanianews,L,Araucanía Noticias,6447,35003,45341,"0,30","156,97"
Red Maule,RedMaule,L,Merelec SpA ,1494,40592,44830,"0,10","28,07"
Radio La Clave ,radiolaclave,N,Miguel Nasur,7659,33082,42733,"0,29","75,52"
Maule Noticias,MauleNoticias,L,N.E,992,36158,41294,"0,14","42,93"
El Periodista,ElPeriodista,N,El Periodista S.A,1076,39886,40308,"0,01","112,2"
Red Biobío,RedBiobio,L,Merelec SpA ,794,36004,38855,"0,08","20,99"
Diario El Centro,diarioelcentro,L,Empresa Periodística El Centro S.A.,3240,35203,38676,"0,10","122,02"
AS Chile,ASChile ,N,Grupo Prisa España,41729,32454,37956,"0,17","261,3"
UCV Televisión,ucv_tv,N,Pontificia Universidad Católica de Valparaiso,835,31952,36488,"0,14","19,88"
MQLTV,MQLTV,N,Producciones y Asesorías Gou Infotaiment Limitada,12198,34741,35153,"0,01",239
Diario Maulee,maulee,L,Red de medios de comunicación digital Portales Regionales,823,33139,34703,"0,05","70,88"
La Discusión de Chillan,ladiscusioncl,L,La Discusión SA,7094,29993,34062,"0,14","172,78"
Radio Ñuble AM y FM,RadioNuble,L,Sociedad de Inversiones Vaccaro Collao e Hijos Ltda.,1538,29391,33040,"0,12","71,08"
El Mercurio de Antofagasta,mercurioafta,L,El Mercurio S.A.P,3199,29507,32817,"0,11","44,71"
Vivimos La Noticia,vlanoticia,L,Vivimos la noticia,2948,28245,32516,"0,15","111,28"
El Rancaguino,elrancaguino,L,Inversiones y Publicaciones Comunidades Ciudadanas S. A.,1167,28925,32375,"0,12","84,99"
Diario Concepción,Diarioconce,L,UdeC - Grupo Copesa,7274,27560,31910,"0,16","200,92"
Soy Arica,soyarica,L,El Mercurio S.A.P,3438,31006,31905,"0,03","47,01"
El Llanquihue,ellanquihue,L,El Mercurio S.A.P. ,5088,28626,31138,"0,09","52,56"
El Martutino,elmartutino,L,Grupo Mi Voz Red de Diarios Ciudadanos,4142,27997,30291,"0,08","156,84"
Cronica Chillan ,CronicaChillan,L,Diario El Sur S.A.,2575,26501,29925,"0,13","163,69"
La estrella de Iquique,laestrellaiqq,L,El Mercurio S.A.P.,3273,26030,28825,"0,11","44,78"
El Pingüino de Magallanes,pinguinodiario,L,Patagonica Publicaciones S.A.,6493,25091,27526,"0,10","162,44"
Cronica Curico,cronicacurico,L,Sociedad periodistica Crónica noticias SPA,1308,23419,26394,"0,13","78,48"
El Nortero,elnortero,L,Grupo Mi Voz Red de Diarios Ciudadanos,3013,23952,26079,"0,09","112,42"
Aconcagua News,AconcaguaNews,L,Aconcagua News,2323,22590,25939,"0,15",66
Soy Antofagasta  ,soyantofagasta ,L,El Mercurio S.A.P,5401,22445,25765,"0,15","54,88"
Diarios Austral Temuco,soytemuco,L,El Mercurio S.A.P.,4858,21921,25460,"0,16",58
Mapuexpress,Mapuexpress,N,Colectivo de Comunicacion Mapuche Mapuexpress,1346,20659,25253,"0,22","89,45"
El Tipografo Rancagua,eltipografo,L,El Tipógrafo SPA,9491,22391,25159,"0,12","201,54"
Diario El Observador,eo_enlinea,HL,Empresa Periodística El Observador Ltda,2363,22171,25099,"0,13","52,24"
El  Austral Osorno,austral_osorno,L,El Mercurio S.A.P,2631,22030,24627,"0,12","39,33"
La Estrella de Concepción,estrellaconce,L,El Mercurio S.A.P.,3332,21270,24097,"0,13","49,84"
El definido,eldefinido,N,El Definido,1949,21699,23590,"0,09","163,24"
MSN Chile Cuenta Verificada,msncl,N,Microsoft Corporation. ,26157,23063,23353,"0,01","446,03"
Canal TVU,TVU_television ,L,Holding Octava Comunicaciones S.A.,1850,18943,22604,"0,19","39,46"
TV Maulinos ,tvmaulinos,L,Tv maulinos,3912,18107,21995,"0,21","119,25"
Red O'Higgins,Red_OHiggins,L,Merelec SpA ,789,19081,21526,"0,13","19,97"
La Tercera TV,LaTerceraTV,N,Grupo Copesa,1713,20295,21373,"0,05","83,64"
Diario Antofagasta ,diarioafta,L,Consorcio Periodístico El Norte SpA,2833,18233,20984,"0,15","113,59"
Radio Sago,RadioSago,L,Sociedad Agrícola y Ganadera de Osorno,4165,17774,20928,"0,18","96,45"
Soy Iquique,soyiquique,L,El Mercurio S.A.P,3812,18465,20612,"0,12",45
Chillan online Noticia,ChillanOnline,L,Chillan Noticias,3304,17109,20581,"0,20","99,14"
Diario Pyme,Diario_Pyme,N,Metro International,6138,20135,20569,"0,02","126,98"
Radio Chiloé,radiochiloe,HL,Velásquez Hnos. y Cía. Ltda.,1986,17571,20435,"0,16","64,63"
Chiloé al Día ,chiloealdia,L,Chiloe Al día,316,18120,20398,"0,13","32,31"
Chillan Activo,chillanactivo,L,Chillan Activo,2172,17340,20158,"0,16","90,44"
Clave 9,Clave9cl,L,Clave9,1373,16860,20120,"0,19","60,68"
Emol Magazine ,emol_magazine,N,El Mercurio S.A.P.,3535,19355,19538,"0,01","54,86"
La otra voz,laotravoz,L,Empresa Periodística La Nación S.A.,253,18842,19422,"0,03","48,78"
Radio Polar ,RadioPolar,L,Organización Comercial Radio Polar Ltda.,8548,17733,19411,"0,09","48,07"
Diario Austral Los Ríos,austral_losrios,L,El Mercurio S.A.P,3547,17155,19382,"0,13","28,36"
El Rancahuaso,elrancahuaso,L,Grupo Mi Voz Red de Diarios Ciudadanos,3557,17359,19298,"0,11","118,72"
Radio El Sembrador,ElSembrador1047,L,Obispado de Chillan,581,15851,18480,"0,17","19,35"
El Periodico ,Elperiodicocl,L,El Periodico,1313,16812,18422,"0,10","59,84"
Diario Atentos,tentos,L,Elyon Comunicaciones,6007,15242,18250,"0,20","120,28"
La Prensa Austral,LaPrensAustral,L,Empresa de Publicaciones La Prensa Austral S.A.,12175,15986,18098,"0,13","251,16"
Cambio 21,cambio21cl,N,Sociedad Periodística Cambio S.A.,6401,17272,17593,"0,02","169,37"
"Radio Condell-92,7",radiocondell,L,Benjamín González,208,15613,17486,"0,12","21,51"
La Estrella de Chiloé,estrellachiloe,L,El Mercurio S.A.P.,2516,14756,17152,"0,16","34,98"
Soy Puertomontt ,soypuertomontt,L,El Mercurio S.A.P,5650,14870,17076,"0,15","55,21"
El Morrocotudo,elmorrocotudo,L,Grupo Mi Voz Red de Diarios Ciudadanos,2605,16143,17008,"0,05","105,65"
Soy Osorno,soyosorno,L,El Mercurio S.A.P,2887,14406,16490,"0,14","42,05"
En Línea,EnLineaMaule,L,En linea maule,1192,12382,16320,"0,32","94,18"
Red Coquimbo,red_coquimbo,L,Merelec SpA ,647,14128,16225,"0,15","18,42"
Sitio Cero,sitiocero,N,Comunidad Sitio Cero,443,16011,16096,"0,01","75,44"
Rio en Linea,rioenlinea,HL,Rioenlinea,3482,13473,16029,"0,19","57,89"
Radio Nuevo Mundo,RNuevoMundo,N,Compañía de Radio y TV Nuevo Mundo S.A,3703,13898,15860,"0,14","176,08"
Red Valparaíso,RedValparaiso,L,Merelec SpA ,720,14446,15649,"0,08","20,97"
El Epicentro,elepicentro,L,Consorcio Periodístico El Epicentro S.A,21197,12303,15595,"0,27","171,26"
Red Araucanía,RedAraucania,L,Merelec SpA ,719,13780,15559,"0,13","19,67"
Diario de Atacama,diarioatacama,L,El Mercurio S.A.P,2026,13528,15432,"0,14","34,01"
Red Antofagasta,RedAntofagasta,L,Merelec SpA ,670,12822,15165,"0,18","18,45"
El Boyaldia,ElBoyaldia,L,Grupo Mi Voz Red de Diarios Ciudadanos,3093,12940,14868,"0,15","109,09"
El Repuertero,elrepuertero,L,Grupo Mi Voz Red de Diarios Ciudadanos,2867,13555,14749,"0,09","113,41"
Radio Estacion 1,RadioEstacion1,L,Estación 1,405,13387,14717,"0,10","19,55"
Soy Chiloé,soychiloe,L,El Mercurio S.A.P,1878,12939,14693,"0,14","32,08"
La estrella Antofagasta,estrella_antofa,L,El Mercurio S.A.P.,3250,12822,14297,"0,12","45,02"
Palabra que es Noticia,palabranoticia,N,Ibero Americana Radio Chile,354,12101,14230,"0,18","18,98"
El Sol de Iquique,elsoldeiquique,L,El sol de Iquique,10803,12811,14104,"0,10","137,43"
Soy Valdivia,soyvaldiviacl,L,El Mercurio S.A.P.,3517,12827,13903,"0,08","30,16"
El Vacanudo,el_vacanudo,L,Grupo Mi Voz Red de Diarios Ciudadanos,2835,12645,13862,"0,10","110,62"
Soy Chillán,soychillan,L,El Mercurio S.A.P,2973,12004,13667,"0,14","46,02"
El Concecuente,elconcecuente,L,Grupo Mi Voz Red de Diarios Ciudadanos,2760,13012,13639,"0,05","112,32"
La Prensa de Curicó,laprensacurico,L,Empresa Periodística Curicó Ltda.,300,12494,13507,"0,08","40,2"
El Naveghable,elnaveghable,L,Grupo Mi Voz Red de Diarios Ciudadanos,2860,11805,12863,"0,09","114,55"
Diario Chañarcillo,chanarcillo,L,Chañarcillo,6227,10839,12145,"0,12","47,38"
Diario El Ovallino,elovallino ,L,Merelec SpA ,835,10542,12085,"0,15","68,06"
Prensa Chiloé,PrensaChiloe,L,Prensa Chiloe,614,9641,11846,"0,23","38,17"
Soy San Antonio,soysanantonio,L,El Mercurio S.A.P,3671,10804,11733,"0,09","43,87"
El Aconcagua,elaconcagua,L,El Aconcagua,323,9396,11529,"0,23","14,9"
Lider San Antonio,lidersanantonio,L,El Mercurio S.A.P,2933,10474,11429,"0,09","42,28"
El Serenense,el_serenense,L,Red de Diarios Comunales Sociedad Limitada,2012,9585,11354,"0,18",72
La Opiñón,laopinon,L,Inversiones y Publicaciones Comunidades Ciudadanas S.A.,3424,10214,10722,"0,05","122,61"
La Tribuna,latribunacl,L,Empresa Periodística Bío-Bío Ltda.,2143,8786,10548,"0,20","103,73"
Red Los Lagos,redloslagos,L,Merelec SpA ,725,9798,10470,"0,07","19,91"
Radio Quellon Fm,radioquellon ,HL,Radio Quellon,976,8901,10113,"0,14","52,02"
Inet HD,InetTvDigital ,L,Inet TV,853,9097,10038,"0,10","53,22"
ITV Patagonia ,ITVnoticias,L,ITV Patagonia Ltda.,2441,8159,9624,"0,18","86,22"
Soy Calama,soycalama,L,El Mercurio S.A.P,2710,8710,9621,"0,10","38,71"
El Clarin de Chile,ELCLARINDECHILE,N,Fundación Presidente Allende,1858,9337,9595,"0,03","175,64"
El Coquimbano,diarioelcoqbano,L,Red de Diarios Comunales Sociedad Limitada,1598,7652,9432,"0,23","63,83"
El diario de Atacama,soycopiapo,L,El Mercurio S.A.P,2264,8397,9255,"0,10","36,33"
Resumen,rsumen,L,Resumen,3133,7736,9061,"0,17","160,47"
Digital FM Chile,DigitalFMChile,N,El Mercurio S.A.P.,25899,6903,8823,"0,28","181,46"
El Magallanews,elmagallanews,L,Grupo Mi Voz Red de Diarios Ciudadanos,2559,7439,8136,"0,09","102,41"
Putaendo Informa,PutaendoInforma,HL,Putaendo Informa,533,6679,8031,"0,20","44,48"
OvalleHoy.cl,DiarioOvalleHoy,HL,SOCIEDAD PERIODÍSTICA BANIC Y LANCELLOTTI LTDA,2944,6432,7834,"0,22","118,49"
El Divisadero Coihayque,ddivisadero,L,El Divisadero,1344,6339,7757,"0,22","70,53"
Red Atacama,redatacama,L,Merelec SpA ,559,6659,7574,"0,14","17,29"
Red Los Ríos,RedlosRios,L,Merelec SpA ,676,6941,7546,"0,09","19,4"
Soy Quillota,soyquillota,L,El Mercurio S.A.P,1338,6920,7377,"0,07","31,12"
Norte Minero,NorteMinero_CL,N,El Mercurio S.A.P.,423,6559,7309,"0,11","27,59"
El Siglo,elsiglochile,N,Partido Comunista de Chile,1999,5006,7024,"0,40","127,12"
Contivisión,TVCONTIVISION,L,Medios de Television Contivision Limitada,361,5325,6868,"0,29","9,62"
La Estrella de Arica,EstrelladeArica,L,El Mercurio S.A.P.,3059,5074,6617,"0,30","44,73"
El Trabajo de Aconcagua,diarioeltrabajo,L,El Trabajo,1487,4687,6108,"0,30","87,61"
Diario El Ranco,elranco,HL,El Ranco,1848,4994,5560,"0,11","83,07"
Aqua.cl,AQUASocial,N,Grupo Editorial Editec,2650,3837,5373,"0,40","106,85"
Atacama Noticias ,AtacamaNoticias,L,OPEN GROUP COMUNICACIONES LTDA.,3610,3843,5116,"0,33","106,13"
Canal VTV (ACONCAGUA),VTVCanal2,L,Sociedad de Comunicaciones Salto del Soldado Ltda,497,4639,5079,"0,09","14,04"
Elqui Global,Elquiglobal,L,CEPT Comunicaciones,567,4003,4955,"0,24","51,23"
El Quehaydecierto,elqhaydecierto,L,Grupo Mi Voz Red de Diarios Ciudadanos,4244,4294,4898,"0,14","118,81"
Agencia Uno ,agenciaunochile,N,Agencia Uno,2940,4139,4825,"0,17","51,28"
OsornoTV+,osornotvmas,L,Ilustre municipalidad de Osorno,300,4070,4811,"0,18","14,06"
Radio Presidente Ibañez,pdteIbanez,L,Francisco Pérez,2801,3764,4576,"0,22","92,04"
PublimetroTV,Publimetro_TV,N,Metro International,2348,4067,4414,"0,09","104,33"
Página 7,Pagina7Chile,N,Biobio Comunicaciones,22090,3465,4340,"0,25","272,1"
Soy Arauco,soyarauco,L,El Mercurio S.A.P,529,4203,4313,"0,03",19
NatalesOnLine,NatalesOnLine,L,NOL Periodico,1380,3374,4102,"0,22","98,58"
Giro Visual San Antonio,girovisualtv,HL,Giro visual,2169,3201,3960,"0,24","32,86"
Carta Abierta,carta_abierta,L,Carta Abierta,2359,3687,3905,"0,06","116,86"
Noticias Los Ríos,InforiosCL,L,Noticias Los Rios,1502,2850,3870,"0,36","70,4"
Radio Puerto Natales,radioptonatales,HL,Sociedad sonido sur,343,3231,3702,"0,15","42,47"
La Estrella de Tocopilla,Estrella_Toco,L,El Mercurio S.A.P.,4020,3266,3638,"0,11","50,48"
La Estrella del Loa,estrella_loa,L,El Mercurio S.A.P.,2465,3153,3544,"0,12","36,57"
